,id,year,stint,team,lg,g,ab,r,h,X2b,X3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
21378,sprinru01,2005,1,HOU,NL,62,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21379,micelda01,2005,1,COL,NL,19,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21380,sweenma01,2005,1,SDN,NL,135,221,31,65,12,1,8,40.0,4.0,0.0,40,58.0,3.0,0.0,1.0,5.0,6.0
21381,hanseda01,2005,1,SEA,AL,60,75,5,13,0,0,2,11.0,1.0,0.0,9,19.0,1.0,0.0,2.0,2.0,1.0
21382,willige02,2005,1,NYN,NL,39,30,9,7,2,0,1,3.0,2.0,0.0,1,7.0,0.0,0.0,1.0,0.0,0.0
21383,harrile01,2005,1,FLO,NL,83,70,5,22,4,0,1,13.0,0.0,1.0,7,11.0,1.0,1.0,0.0,0.0,3.0
21384,stairma01,2005,1,KCA,AL,127,396,55,109,26,1,13,66.0,1.0,2.0,60,69.0,4.0,5.0,0.0,5.0,9.0
21385,mabryjo01,2005,1,SLN,NL,112,246,26,59,15,1,8,32.0,0.0,0.0,20,63.0,1.0,0.0,6.0,2.0,6.0
21386,mondera01,2005,1,ATL,NL,41,142,17,30,7,1,4,17.0,0.0,1.0,12,35.0,3.0,0.0,0.0,1.0,5.0
21387,loaizes01,2005,1,WAS,NL,34,74,3,12,2,0,0,4.0,0.0,1.0,0,23.0,0.0,0.0,6.0,0.0,1.0
21388,delgaca01,2005,1,FLO,NL,144,521,81,157,41,3,33,115.0,0.0,0.0,72,121.0,20.0,17.0,0.0,6.0,16.0
21389,valdeis01,2005,1,FLO,NL,14,13,0,2,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,3.0,0.0,0.0
21390,rodriiv01,2005,1,DET,AL,129,504,71,139,33,5,14,50.0,7.0,3.0,11,93.0,2.0,2.0,1.0,7.0,19.0
21391,seaneru01,2005,1,SDN,NL,57,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21392,rogerke01,2005,1,TEX,AL,30,3,0,1,0,1,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
21393,parkch01,2005,2,SDN,NL,10,14,2,3,0,0,0,2.0,0.0,0.0,0,5.0,0.0,0.0,4.0,0.0,0.0
21394,parkch01,2005,1,TEX,AL,20,5,0,2,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
21395,palmera01,2005,1,BAL,AL,110,369,47,98,13,0,18,60.0,2.0,0.0,43,43.0,4.0,2.0,0.0,8.0,9.0
21396,gonzaju03,2005,1,CLE,AL,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21397,evereca01,2005,1,CHA,AL,135,490,58,123,17,2,23,87.0,4.0,5.0,42,99.0,2.0,5.0,0.0,10.0,11.0
21398,gomezch02,2005,1,BAL,AL,89,219,27,61,11,0,1,18.0,2.0,1.0,27,17.0,1.0,1.0,6.0,1.0,14.0
21399,flahejo01,2005,1,NYA,AL,47,127,10,21,5,0,2,11.0,0.0,0.0,6,26.0,0.0,1.0,2.0,2.0,4.0
21400,alvarwi01,2005,1,LAN,NL,21,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
21401,timlimi01,2005,1,BOS,AL,81,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21402,williwo02,2005,1,SDN,NL,30,46,3,7,0,0,0,3.0,1.0,0.0,0,19.0,0.0,0.0,8.0,1.0,1.0
21403,martiti02,2005,1,NYA,AL,131,303,43,73,9,0,17,49.0,2.0,0.0,38,54.0,3.0,3.0,0.0,4.0,10.0
21404,edmonji01,2005,1,SLN,NL,142,467,88,123,37,1,29,89.0,5.0,5.0,91,139.0,10.0,4.0,1.0,4.0,6.0
21405,worreti01,2005,1,PHI,NL,19,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21406,worreti01,2005,2,ARI,NL,32,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
21407,witasja01,2005,1,COL,NL,32,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21408,witasja01,2005,2,OAK,AL,28,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21409,schmija01,2005,1,SFN,NL,29,53,2,5,0,0,1,2.0,0.0,0.0,0,32.0,0.0,1.0,6.0,0.0,0.0
21410,snowjt01,2005,1,SFN,NL,117,367,40,101,17,2,4,40.0,1.0,0.0,32,61.0,1.0,7.0,2.0,2.0,6.0
21411,santibe01,2005,1,PIT,NL,6,23,1,6,1,1,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,1.0
21412,sandere02,2005,1,SLN,NL,93,295,49,80,14,2,21,54.0,14.0,1.0,28,75.0,1.0,4.0,0.0,2.0,8.0
21413,kentje01,2005,1,LAN,NL,149,553,100,160,36,0,29,105.0,6.0,2.0,72,85.0,8.0,8.0,0.0,4.0,19.0
21414,bondsba01,2005,1,SFN,NL,14,42,8,12,1,0,5,10.0,0.0,0.0,9,6.0,3.0,0.0,0.0,1.0,0.0
